и╚тС,╦Ы╣ы,гциЫ,нфюМ,фЙ╡©,╢╔╦п,цэ╤х,╨╛лгбй,╨ц╧о  
гЮбл,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,3,3,йг  
нз╨з,РИкУ,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,3,3,йг  
нз╨з,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,3,2,йг  
гЮбл,РИкУ,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,3,2,йг  
гЁ╟в,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,2,2,йг  
гЮбл,итРИ,вгоЛ,гЕнЗ,ит╟╪,хМуЁ,2,2,йг  
нз╨з,итРИ,вгоЛ,ит╨Щ,ит╟╪,хМуЁ,2,1,йг  
нз╨з,итРИ,вгоЛ,гЕнЗ,ит╟╪,с╡╩╛,2,2,йг  
нз╨з,итРИ,Ёацф,ит╨Щ,ит╟╪,с╡╩╛,3,1,╥Я  
гЮбл,с╡м╕,гЕ╢Ю,гЕнЗ,ф╫л╧,хМуЁ,1,2,╥Я  
гЁ╟в,с╡м╕,гЕ╢Ю,дё╨Щ,ф╫л╧,с╡╩╛,1,1,╥Я  
гЁ╟в,РИкУ,вгоЛ,дё╨Щ,ф╫л╧,хМуЁ,1,1,╥Я  
гЮбл,итРИ,вгоЛ,ит╨Щ,╟╪ощ,с╡╩╛,3,1,╥Я  
гЁ╟в,итРИ,Ёацф,ит╨Щ,╟╪ощ,с╡╩╛,3,1,╥Я  
нз╨з,итРИ,вгоЛ,гЕнЗ,ит╟╪,хМуЁ,2,3,╥Я  
гЁ╟в,РИкУ,вгоЛ,дё╨Щ,ф╫л╧,с╡╩╛,2,1,╥Я  
гЮбл,РИкУ,Ёацф,ит╨Щ,ит╟╪,с╡╩╛,3,1,╥Я 
